행정구역,2020년04월_총인구수,Column1
부산광역시 서구 서대신제1동(2614054000),12188,
부산광역시 서구 서대신제3동(2614056000),8874,
부산광역시 서구 서대신제4동(2614057000),8087,
부산광역시 서구 부민동(2614059000),8007,
부산광역시 서구 아미동(2614061500),7306,
부산광역시 서구 초장동(2614063000),4809,
부산광역시 서구 충무동(2614064000),10153,
부산광역시 서구 남부민제1동(2614065000),4867,
부산광역시 서구 남부민제2동(2614066000),9952,
부산광역시 서구 암남동(2614068000),13997,
부산광역시 동구 (2617000000),89673,
부산광역시 동구 초량제1동(2617051000),4888,
부산광역시 동구 초량제2동(2617052000),5899,
부산광역시 동구 초량제3동(2617053000),10590,
부산광역시 동구 초량제6동(2617055000),6537,
부산광역시 동구 수정제1동(2617056000),4305,
부산광역시 동구 수정제2동(2617057000),10174,
부산광역시 동구 수정제4동(2617059000),4304,
부산광역시 동구 수정제5동(2617060000),5741,
부산광역시 동구 좌천동(2617064500),11301,
부산광역시 동구 범일제1동(2617065000),12297,
부산광역시 동구 범일제2동(2617066000),9005,
부산광역시 동구 범일제5동(2617068000),4632,
부산광역시 영도구 (2620000000),115645,
부산광역시 영도구 남항동(2620053000),10835,
부산광역시 영도구 영선제1동(2620054000),4174,
부산광역시 영도구 영선제2동(2620055000),9030,
부산광역시 영도구 신선동(2620058500),9450,
부산광역시 영도구 봉래제1동(2620059000),7384,
부산광역시 영도구 봉래제2동(2620060500),5409,
부산광역시 영도구 청학제1동(2620063000),6934,
부산광역시 영도구 청학제2동(2620064000),18779,
부산광역시 영도구 동삼제1동(2620065000),29313,
부산광역시 영도구 동삼제2동(2620066000),3631,
부산광역시 영도구 동삼제3동(2620067000),10706,
부산광역시 부산진구 (2623000000),356978,
부산광역시 부산진구 부전제1동(2623051000),15525,
부산광역시 부산진구 부전제2동(2623052000),10150,
부산광역시 부산진구 연지동(2623054000),20488,
부산광역시 부산진구 초읍동(2623055000),21347,
부산광역시 부산진구 양정제1동(2623056000),20514,
부산광역시 부산진구 양정제2동(2623057000),13147,
부산광역시 부산진구 전포제1동(2623060000),18199,
부산광역시 부산진구 전포제2동(2623061000),21509,
부산광역시 부산진구 부암제1동(2623064000),22701,
부산광역시 부산진구 부암제3동(2623066000),18351,
부산광역시 부산진구 당감제1동(2623067000),24511,
부산광역시 부산진구 당감제2동(2623068000),10390,
부산광역시 부산진구 당감제4동(2623070000),12076,
부산광역시 부산진구 가야제1동(2623071000),20356,
부산광역시 부산진구 가야제2동(2623072000),16864,
부산광역시 부산진구 개금제1동(2623074000),17260,
부산광역시 부산진구 개금제2동(2623075000),11711,
부산광역시 부산진구 개금제3동(2623076000),30105,
부산광역시 부산진구 범천제1동(2623077000),11841,
부산광역시 부산진구 범천제2동(2623078000),19933,
부산광역시 동래구 (2626000000),272570,
부산광역시 동래구 수민동(2626051000),33043,
부산광역시 동래구 복산동(2626052000),10544,
부산광역시 동래구 명륜동(2626054500),24898,
부산광역시 동래구 온천제1동(2626055000),19233,
부산광역시 동래구 온천제2동(2626056000),15460,
부산광역시 동래구 온천제3동(2626057000),38510,
부산광역시 동래구 사직제1동(2626058000),10884,
부산광역시 동래구 사직제2동(2626059000),28760,
부산광역시 동래구 사직제3동(2626060000),17519,
부산광역시 동래구 안락제1동(2626074000),15157,
부산광역시 동래구 안락제2동(2626075000),28469,
부산광역시 동래구 명장제1동(2626076100),14761,
부산광역시 동래구 명장제2동(2626076200),15332,
부산광역시 남구 (2629000000),271674,
부산광역시 남구 대연제1동(2629051000),16235,
부산광역시 남구 대연제3동(2629053000),33302,
부산광역시 남구 대연제4동(2629054000),12891,
부산광역시 남구 대연제5동(2629055000),17240,
부산광역시 남구 대연제6동(2629056000),15748,
부산광역시 남구 용호제1동(2629057000),45582,
부산광역시 남구 용호제2동(2629058000),17680,
부산광역시 남구 용호제3동(2629059000),12728,
부산광역시 남구 용호제4동(2629060000),8916,
부산광역시 남구 용당동(2629061000),8123,
부산광역시 남구 감만제1동(2629062000),14437,
부산광역시 남구 감만제2동(2629063000),7268,
